broadcast,song_name,datetime
rmf-fm,Justin Timberlake - Can't stop the feeling!,14-03-20 00:06
rmf-fm,Sylwia Grzeszczak - Karuzela,14-03-20 00:10
rmf-fm,Natalia Zastepa - Nie zaluje,14-03-20 00:13
rmf-fm,Ava Max - Salt,14-03-20 00:21
rmf-fm,Michael Sembello - Maniac,14-03-20 00:23
rmf-fm,Bajm - Mysli i slowa,14-03-20 00:32
rmf-fm,John Mamann - Love life,14-03-20 00:34
rmf-fm,Marcin Maciejczak - Jak gdyby nic,14-03-20 00:41
rmf-fm,Urszula - Anioł wie,14-03-20 00:43
rmf-fm,Camila Cabello - My oh my,14-03-20 00:51
rmf-fm,Ewelina Lisowska - Nieodporny rozum,14-03-20 00:53
rmf-fm,Sigala - Sweet lovin`,14-03-20 00:57
rmf-fm,Rag'n'bone Man - Skin,14-03-20 01:05
rmf-fm,Kasia Kowalska - Baby blues,14-03-20 01:07
rmf-fm,Robin Schulz - In your eyes,14-03-20 01:17
rmf-fm,Goya - Tylko mnie kochaj,14-03-20 01:20
rmf-fm,Anna Wyszkoni - Z ciszą pośród czterech ścian,14-03-20 01:27
rmf-fm,The Weeknd - Blinding lights,14-03-20 01:31
rmf-fm,Hey‚ Edyta Bartosiewicz - Moja i twoja nadzieja,14-03-20 01:37
rmf-fm,Chłopcy Z Placu Broni - Kocham cię,14-03-20 01:41
rmf-fm,Yves V / Ilkay Sencan - Not so bad,14-03-20 01:48
rmf-fm,Kasia Popowska - Graj,14-03-20 01:54
rmf-fm,Edyta Bartosiewicz - Sen,14-03-20 01:56
rmf-fm,Joan Jett / Blackhearts - I love rock 'n' roll,13-03-20 00:07
rmf-fm,Video - Ktoś nowy,13-03-20 00:09
rmf-fm,Ava Max - Salt,13-03-20 00:15
rmf-fm,Artur Gadowski - Ona jest ze snu,13-03-20 00:20
rmf-fm,Imagine Dragons - Believer,13-03-20 00:26
rmf-fm,Męskie Granie Orkiestra - Początek,13-03-20 00:30
rmf-fm,Bill Medley‚ Jennifer Warnes - (i've had) the time of my life,13-03-20 00:38
rmf-fm,Lukasz Zagrobelny - Zycie na czekanie,13-03-20 00:42
rmf-fm,Harry Styles - Adore you,13-03-20 00:50
rmf-fm,Agnieszka Chylińska - Królowa łez,13-03-20 00:54
rmf-fm,Elize - Automatic,13-03-20 00:58
rmf-fm,Shaggy - Angel,13-03-20 01:06
rmf-fm,Monika Lewczuk - Ty i ja,13-03-20 01:10
rmf-fm,Dua Lipa - Physical,13-03-20 01:15
rmf-fm,Feel - A gdy jest już ciemno,13-03-20 01:19
rmf-fm,Tabb‚ Sound'n'grace - Dach,13-03-20 01:26
rmf-fm,C-Bool‚ Cadence Xyz - Fire in my head,13-03-20 01:30
rmf-fm,Maryla Rodowicz - To juz bylo,13-03-20 01:36
rmf-fm,Szymon Wydra‚ Carpe Diem - Jak ja jej to powiem,13-03-20 01:42
rmf-fm,Lewis Capaldi - Before you go,13-03-20 01:48
rmf-fm,Urszula - Niebo dla ciebie,13-03-20 01:56
rmf-fm,Maroon 5‚ Kendrick Lamar - Don't wanna know,12-03-20 00:06
rmf-fm,Natalia Szroeder - Lustra,12-03-20 00:10
rmf-fm,Alan Walker/ava Max - Alone pt. ii,12-03-20 00:16
rmf-fm,Andrzej Piaseczny - Śniadanie do łóżka,12-03-20 00:20
rmf-fm,Pink / Nate Ruess - Just give me a reason,12-03-20 00:26
rmf-fm,Viki Gabor / Kayah - Ramie w ramie,12-03-20 00:30
rmf-fm,Kurt Nilsen - She's so high,12-03-20 00:36
rmf-fm,Bednarek / Matheo - Talizman,12-03-20 00:40
rmf-fm,Smith & Thell - Goliath,12-03-20 00:44
rmf-fm,Piotr Rubik - Niech mówią‚ że to nie jest miłość,12-03-20 00:50
rmf-fm,Enrique Iglesias - I like it,12-03-20 00:54
rmf-fm,Igor Herbut - Wkręceni - nie ufaj mi,12-03-20 00:57
rmf-fm,Adam Lambert - Whataya want from me,12-03-20 01:06
rmf-fm,Paweł Kukiz / Piersi - Całuj mnie,12-03-20 01:10
rmf-fm,Tiësto - Blue,12-03-20 01:18
rmf-fm,T.love - Stokrotka,12-03-20 01:20
rmf-fm,Bajm - Noc po ciężkim dniu,12-03-20 01:28
rmf-fm,Mig / Felix Jaehn / Vize - Close your eyes,12-03-20 01:32
rmf-fm,Bracia - Niepisane,12-03-20 01:38
rmf-fm,Sarsa - Volta,12-03-20 01:42
rmf-fm,Avicii / Kygo / Sandro Cavazza - Forever yours (avicii tribute),12-03-20 01:48
rmf-fm,Ewa Farna - Tajna misja,12-03-20 01:54
rmf-fm,Myslovitz - Mieć czy być,12-03-20 01:57
rmf-fm,Evanescence - Bring me to life,10-03-20 00:06
rmf-fm,Maryla Rodowicz - Jest cudnie,10-03-20 00:12
rmf-fm,Reni Jusis - Kiedyś cię znajdę,10-03-20 00:13
rmf-fm,Topic‚ A7S - Breaking me,10-03-20 00:20
rmf-fm,Mateusz Mijal & Liber - Winny,10-03-20 00:22
rmf-fm,Sylwia Grzeszczak - Sen o przyszlosci,10-03-20 00:31
rmf-fm,Robin Schulz - In your eyes,10-03-20 00:33
rmf-fm,Anna Maria Jopek - Ja wysiadam,10-03-20 00:41
rmf-fm,Asaf Avidan / The Mojos - One day - reckoning song (wankelmut remix),10-03-20 00:43
rmf-fm,Daria Zawiałow - Punk fu,10-03-20 00:49
rmf-fm,Nickelback - Lullaby,10-03-20 00:53
rmf-fm,Kasia Kowalska - Chcę zatrzymać ten czas,10-03-20 00:57
rmf-fm,Lana Del Rey - Summertime sadness,10-03-20 01:06
rmf-fm,Varius Manx - Przebudzenie,10-03-20 01:10
rmf-fm,Sanah - Szampan,10-03-20 01:16
rmf-fm,Sheppard - Geronimo,10-03-20 01:20
rmf-fm,Filip Lato - Halo ziemia,10-03-20 01:26
rmf-fm,Kshmr & Marnik - Alone,10-03-20 01:30
rmf-fm,Lemon - Jutro,10-03-20 01:36
rmf-fm,Grzegorz Hyży‚ Tabb - Na chwilę,10-03-20 01:40
rmf-fm,Patryk Skoczyński - Dom,10-03-20 01:46
rmf-fm,De Mono - Kochać inaczej,10-03-20 01:53
